# v_mps,ax_max_machines_mps2
0.0,3.0
0.2777777777777778,2.9722222222222223
0.5555555555555556,2.9444444444444446
0.8333333333333334,2.9166666666666665
1.1111111111111112,2.888888888888889
1.3888888888888888,2.861111111111111
1.6666666666666667,2.8333333333333335
1.9444444444444446,2.8055555555555554
2.2222222222222223,2.7777777777777777
2.5,2.75
2.7777777777777777,2.7222222222222223
3.055555555555556,2.6944444444444446
3.3333333333333335,2.6666666666666665
3.611111111111111,2.638888888888889
3.8888888888888893,2.611111111111111
4.166666666666667,2.583333333333333
4.583333333333334,2.5416666666666665
5.0,2.5
