# v_mps,ax_max_mps2,ay_max_mps2
0.0,3.0,7.848000000000001
4.0,3.0,7.848000000000001
8.0,3.0,7.848000000000001
12.0,3.0,7.848000000000001
16.0,3.0,7.848000000000001
20.0,3.0,7.848000000000001
24.0,3.0,7.848000000000001
28.0,3.0,7.848000000000001
32.0,3.0,7.848000000000001
36.0,3.0,7.848000000000001
40.0,3.0,7.848000000000001
44.0,3.0,7.848000000000001
48.0,3.0,7.848000000000001
52.0,3.0,7.848000000000001
56.0,3.0,7.848000000000001
60.0,3.0,7.848000000000001
66.0,3.0,7.848000000000001
72.0,3.0,7.848000000000001
